review_id,old_id,old_name,status,alias_of,final_primary_category,final_subcategory,review_comment
R001,tunnel_fire,公路隧道火灾,accept,,火灾,火灾-公路隧道火灾,
R002,chemical_plant_fire,化工装置企业火灾,revise,,火灾,火灾-化工装置火灾,火灾-化工装置火灾
R003,hazmat_transport,危化品运输车事故,accept,,交通事故,交通事故-危化品运输车,
R004,kitchen_fire,厨房火灾,accept,,火灾,火灾-厨房火灾,
R005,typhoon_disaster,台风灾害,accept,,救援,救援-台风灾害,
R006,underground_building_fire,地下建筑火灾,accept,,火灾,火灾-地下建筑火灾,
R007,underground_garage_fire,地下车库火灾,accept,,火灾,火灾-地下车库火灾,
R008,garbage_fire,垃圾类火灾,accept,,火灾,火灾-垃圾类火灾,
R009,multi_storey_building_fire,多层建筑火灾,accept,,火灾,火灾-多层建筑火灾,
R010,large_commercial_complex_fire,大型商业综合体火灾,accept,,火灾,火灾-大型商业综合体火灾,
R011,large_span_factory,大跨度厂房火灾,accept,,火灾,火灾-大跨度厂房火灾,
R012,lab_fire,实验室火灾,accept,,火灾,火灾-实验室火灾,
R013,landslide_mudslide,山体滑坡/泥石流救援,revise,,救援,救援-地质灾害救援,救援-地质灾害救援
R014,mountain_rescue,山岳救援,accept,,救援,救援-山岳救援,
R015,construction_site_fire,工地火灾,accept,,火灾,火灾-工地火灾,
R016,building_collapse,建筑物倒塌事故处置,accept,,救援,救援-建筑物倒塌,
R017,animal_rescue,抓动物,accept,,救援,救援-抓动物,
R018,heritage_building_fire,文物古建筑火灾,accept,,火灾,火灾-文物古建筑火灾,
R019,vehicle_ev,新能源汽车火灾,revise,,火灾,火灾-新能源汽车火灾,火灾-新能源汽车火灾
R020,residential_building,民用建筑火灾,accept,,火灾,火灾-民用建筑火灾,
R021,water_rescue,水域营救,accept,,救援,救援-水域营救,
R022,vehicle_oil_leak,汽车漏油处置,accept,,救援,救援-汽车漏油处置,
R023,flood_disaster_rescue,洪涝灾害救援,accept,,救援,救援-洪涝灾害救援,
R024,sulfur_leak,液态硫磺泄漏处置,accept,,救援,救援-液态硫磺泄漏处置,
R025,ammonia_leak,液氨泄漏处置,accept,,救援,救援-液氨泄漏处置,
R026,gas_cylinder_fire,煤气罐火灾,accept,,火灾,火灾-煤气罐火灾,
R027,gas_leak,燃气泄漏处置,accept,,救援,救援-燃气泄漏处置,
R028,elevator_rescue,电梯故障救援,accept,,救援,救援-电梯故障救援,
R029,electrical_equipment_fire,电气设备火灾,accept,,火灾,火灾-电气设备火灾,
R030,ebike_fire,电瓶车火灾,accept,,火灾,火灾-电瓶车火灾,
R031,waterlogging,社会救助-内涝抽排水,revise,,社会救助,社会救助-内涝抽排水,社会救助-内涝抽排水
R032,social_assistance_door,社会救助-开门,revise,,社会救助,社会救助-开门,社会救助-开门
R033,hornet_removal,社会救助-摘马蜂窝,revise,,社会救助,社会救助-摘马蜂窝,社会救助-摘马蜂窝
R034,wildland_fire,草木火灾,accept,,火灾,火灾-草木火灾,
R035,crush_rescue,身体部位被卡,accept,,救援,救援-身体部位被卡,
R036,vehicle_fire,车辆火灾,accept,,火灾,火灾-车辆火灾,
R037,traffic_accident_rescue,道路交通事故救援,accept,,交通事故,交通事故-道路交通救援,
R038,acetic_acid_leak,醋酸泄露处置,accept,,救援,救援-醋酸泄露处置,
R039,high_rise_building,高层建筑火灾,accept,,火灾,火灾-高层建筑火灾,
R040,high_altitude_retrieval,高空取物,accept,,救援,救援-高空取物,
R041,high_altitude_rescue,高空救援,accept,,救援,救援-高空救援,
R042,highway_vehicle_fire,高速车辆火灾事故,revise,,火灾,火灾-高速车辆火灾,火灾-高速车辆火灾
R043,lpg_tanker_accident,LPG罐车事故,accept,,交通事故,交通事故-LPG罐车,
R044,lng_tanker_accident,LNG罐车事故,accept,,交通事故,交通事故-LNG罐车,
R045,cng_tanker_accident,CNG罐车事故,accept,,交通事故,交通事故-CNG罐车,
