review_id,old_id,old_name,old_category,problem_type,suggested_new_primary_category,suggested_new_subcategory,alias_of,status,review_comment,decision_reason
R001,tunnel_fire,公路隧道火灾,火灾,,火灾,火灾-公路隧道火灾,,pending,,
R002,chemical_plant_fire,化工装置企业火灾,火灾,,火灾,火灾-化工装置企业火灾,,pending,,
R003,hazmat_transport,危化品运输车事故,交通事故,,交通事故,交通事故-危化品运输车,,pending,,
R004,kitchen_fire,厨房火灾,火灾,,火灾,火灾-厨房火灾,,pending,,
R005,typhoon_disaster,台风灾害,救援,,救援,救援-台风灾害,,pending,,
R006,underground_building_fire,地下建筑火灾,火灾,,火灾,火灾-地下建筑火灾,,pending,,
R007,underground_garage_fire,地下车库火灾,火灾,,火灾,火灾-地下车库火灾,,pending,,
R008,garbage_fire,垃圾类火灾,火灾,,火灾,火灾-垃圾类火灾,,pending,,
R009,multi_storey_building_fire,多层建筑火灾,火灾,,火灾,火灾-多层建筑火灾,,pending,,
R010,large_commercial_complex_fire,大型商业综合体火灾,火灾,模糊,火灾,火灾-大型商业综合体火灾,,pending,,
R011,large_span_factory,大跨度厂房火灾,火灾,,火灾,火灾-大跨度厂房火灾,,pending,,
R012,lab_fire,实验室火灾,火灾,,火灾,火灾-实验室火灾,,pending,,
R013,landslide_mudslide,山体滑坡/泥石流救援,救援,可拆分,救援,救援-山体滑坡/泥石流救援,,pending,,
R014,mountain_rescue,山岳救援,救援,,救援,救援-山岳救援,,pending,,
R015,construction_site_fire,工地火灾,火灾,,火灾,火灾-工地火灾,,pending,,
R016,building_collapse,建筑物倒塌事故处置,救援,模糊,救援,救援-建筑物倒塌,,pending,,
R017,animal_rescue,抓动物,救援,,救援,救援-抓动物,,pending,,
R018,heritage_building_fire,文物古建筑火灾,火灾,,火灾,火灾-文物古建筑火灾,,pending,,
R019,vehicle_ev,新能源汽车火灾,交通事故,,交通事故,交通事故-新能源汽车火灾,,pending,,
R020,residential_building,民用建筑火灾,火灾,,火灾,火灾-民用建筑火灾,,pending,,
R021,water_rescue,水域营救,救援,,救援,救援-水域营救,,pending,,
R022,vehicle_oil_leak,汽车漏油处置,救援,,救援,救援-汽车漏油处置,,pending,,
R023,flood_disaster_rescue,洪涝灾害救援,救援,,救援,救援-洪涝灾害救援,,pending,,
R024,sulfur_leak,液态硫磺泄漏处置,救援,,救援,救援-液态硫磺泄漏处置,,pending,,
R025,ammonia_leak,液氨泄漏处置,救援,,救援,救援-液氨泄漏处置,,pending,,
R026,gas_cylinder_fire,煤气罐火灾,火灾,,火灾,火灾-煤气罐火灾,,pending,,
R027,gas_leak,燃气泄漏处置,救援,,救援,救援-燃气泄漏处置,,pending,,
R028,elevator_rescue,电梯故障救援,救援,,救援,救援-电梯故障救援,,pending,,
R029,electrical_equipment_fire,电气设备火灾,火灾,,火灾,火灾-电气设备火灾,,pending,,
R030,ebike_fire,电瓶车火灾,火灾,,火灾,火灾-电瓶车火灾,,pending,,
