review_id,old_id,old_name,old_category,problem_type,suggested_new_primary_category,suggested_new_subcategory,alias_of,status,review_comment,decision_reason
R001,tunnel_fire,公路隧道火灾,火灾,,火灾,火灾-公路隧道火灾,,accept,,
R002,chemical_plant_fire,化工装置企业火灾,火灾,,火灾,火灾-化工装置企业火灾,,revise,火灾-化工装置火灾,
R003,hazmat_transport,危化品运输车事故,交通事故,,交通事故,交通事故-危化品运输车,,accept,,
R004,kitchen_fire,厨房火灾,火灾,,火灾,火灾-厨房火灾,,accept,,
R005,typhoon_disaster,台风灾害,救援,,救援,救援-台风灾害,,accept,,
R006,underground_building_fire,地下建筑火灾,火灾,,火灾,火灾-地下建筑火灾,,accept,,
R007,underground_garage_fire,地下车库火灾,火灾,,火灾,火灾-地下车库火灾,,accept,,
R008,garbage_fire,垃圾类火灾,火灾,,火灾,火灾-垃圾类火灾,,accept,,
R009,multi_storey_building_fire,多层建筑火灾,火灾,,火灾,火灾-多层建筑火灾,,accept,,
R010,large_commercial_complex_fire,大型商业综合体火灾,火灾,模糊,火灾,火灾-大型商业综合体火灾,,accept,,
R011,large_span_factory,大跨度厂房火灾,火灾,,火灾,火灾-大跨度厂房火灾,,accept,,
R012,lab_fire,实验室火灾,火灾,,火灾,火灾-实验室火灾,,accept,,
R013,landslide_mudslide,山体滑坡/泥石流救援,救援,可拆分,救援,救援-山体滑坡/泥石流救援,,revise,救援-地质灾害救援,
R014,mountain_rescue,山岳救援,救援,,救援,救援-山岳救援,,accept,,
R015,construction_site_fire,工地火灾,火灾,,火灾,火灾-工地火灾,,accept,,
R016,building_collapse,建筑物倒塌事故处置,救援,模糊,救援,救援-建筑物倒塌,,accept,,
R017,animal_rescue,抓动物,救援,,救援,救援-抓动物,,accept,,
R018,heritage_building_fire,文物古建筑火灾,火灾,,火灾,火灾-文物古建筑火灾,,accept,,
R019,vehicle_ev,新能源汽车火灾,交通事故,,交通事故,交通事故-新能源汽车火灾,,revise,火灾-新能源汽车火灾,
R020,residential_building,民用建筑火灾,火灾,,火灾,火灾-民用建筑火灾,,accept,,
R021,water_rescue,水域营救,救援,,救援,救援-水域营救,,accept,,
R022,vehicle_oil_leak,汽车漏油处置,救援,,救援,救援-汽车漏油处置,,accept,,
R023,flood_disaster_rescue,洪涝灾害救援,救援,,救援,救援-洪涝灾害救援,,accept,,
R024,sulfur_leak,液态硫磺泄漏处置,救援,,救援,救援-液态硫磺泄漏处置,,accept,,
R025,ammonia_leak,液氨泄漏处置,救援,,救援,救援-液氨泄漏处置,,accept,,
R026,gas_cylinder_fire,煤气罐火灾,火灾,,火灾,火灾-煤气罐火灾,,accept,,
R027,gas_leak,燃气泄漏处置,救援,,救援,救援-燃气泄漏处置,,accept,,
R028,elevator_rescue,电梯故障救援,救援,,救援,救援-电梯故障救援,,accept,,
R029,electrical_equipment_fire,电气设备火灾,火灾,,火灾,火灾-电气设备火灾,,accept,,
R030,ebike_fire,电瓶车火灾,火灾,,火灾,火灾-电瓶车火灾,,accept,,
R031,waterlogging,社会救助-内涝抽排水,社会救助,,社会救助,社会救助-社会救助-内涝抽排水,,revise,社会救助-内涝抽排水,
R032,social_assistance_door,社会救助-开门,社会救助,,社会救助,社会救助-社会救助-开门,,revise,社会救助-开门,
R033,hornet_removal,社会救助-摘马蜂窝,社会救助,,社会救助,社会救助-社会救助-摘马蜂窝,,revise,社会救助-摘马蜂窝,
R034,wildland_fire,草木火灾,火灾,,火灾,火灾-草木火灾,,accept,,
R035,crush_rescue,身体部位被卡,救援,,救援,救援-身体部位被卡,,accept,,
R036,vehicle_fire,车辆火灾,火灾,,火灾,火灾-车辆火灾,,accept,,
R037,traffic_accident_rescue,道路交通事故救援,交通事故,,交通事故,交通事故-道路交通救援,,accept,,
R038,acetic_acid_leak,醋酸泄露处置,救援,,救援,救援-醋酸泄露处置,,accept,,
R039,high_rise_building,高层建筑火灾,火灾,,火灾,火灾-高层建筑火灾,,accept,,
R040,high_altitude_retrieval,高空取物,救援,,救援,救援-高空取物,,accept,,
R041,high_altitude_rescue,高空救援,救援,,救援,救援-高空救援,,accept,,
R042,highway_vehicle_fire,高速车辆火灾事故,交通事故,,交通事故,交通事故-高速车辆火灾,,revise,火灾-高速车辆火灾,
R043,lpg_tanker_accident,LPG罐车事故,交通事故,,交通事故,交通事故-LPG罐车,,accept,,
R044,lng_tanker_accident,LNG罐车事故,交通事故,,交通事故,交通事故-LNG罐车,,accept,,
R045,cng_tanker_accident,CNG罐车事故,交通事故,,交通事故,交通事故-CNG罐车,,accept,,
